prompt_method,input_file,natural_language,sql,type,answer,claude_response,claude_query_result,pass
original_prompt,ground_truth_data,What's the average weight of NBA players?,"SELECT ROUND(AVG(CAST(weight AS FLOAT)), 2) as avg_weight FROM common_player_info WHERE weight != '' LIMIT 1",aggregation,[[211.2]],"```sql
SELECT AVG(weight) AS average_weight
FROM players
WHERE league = 'NBA'
```

This SQL query calculates the average weight of all NBA players by:
1. Selecting the average (AVG) of the weight column
2. From the players table
3. Filtering only for players in the NBA league
4. Naming the result column as ""average_weight""",,False
original_prompt,ground_truth_data,List all rookie players,"SELECT first_name, last_name FROM common_player_info WHERE season_exp = 0",filtering,"[['Ibou', 'Badji'], ['Collin', 'Gillespie'], ['Chet', 'Holmgren'], ['Justin', 'Lewis'], ['E.J.', 'Liddell']]","```sql
SELECT *
FROM players
WHERE is_rookie = TRUE;
```

This SQL query selects all columns for players who are rookies. I'm assuming there's a boolean field called `is_rookie` in the `players` table that indicates whether a player is a rookie. If the rookie status is stored differently in your database, the query would need to be adjusted accordingly.

Alternative versions depending on how rookie status might be stored:

```sql
-- If rookie status is stored as a year
SELECT *
FROM players
WHERE rookie_year = YEAR(CURRENT_DATE);

-- If rookie status is stored as a numeric flag (1/0)
SELECT *
FROM players
WHERE is_rookie = 1;

-- If rookie status is determined by experience years
SELECT *
FROM players
WHERE years_of_experience = 0;
```",,False
original_prompt,ground_truth_data,How many games are played on Christmas Day?,"SELECT COUNT(*) as christmas_games FROM game_info WHERE strftime('%m-%d', game_date) = '12-25' LIMIT 1",counting,[[207]],"To convert this question into SQL, I need to query for games that occurred on Christmas Day (December 25th) and count them.

```sql
SELECT COUNT(*) AS christmas_day_games
FROM games
WHERE EXTRACT(MONTH FROM game_date) = 12 
  AND EXTRACT(DAY FROM game_date) = 25;
```

This SQL query:
1. Counts all records in the games table
2. Filters for only those where the date is December 25th (Christmas Day)
3. Returns the total count as ""christmas_day_games""

Note: The exact column name for the date might vary in your database (could be ""date"", ""game_date"", ""played_on"", etc.), so you may need to adjust that part of the query.",,False
original_prompt,ground_truth_data,What's the most points scored by the home team?,SELECT pts_home FROM game ORDER BY pts_home DESC LIMIT 1,ranking,[[192.0]],"To find the most points scored by the home team in SQL, I would write:

```sql
SELECT MAX(home_score) AS max_home_points
FROM games;
```

This query assumes:
- There's a table called ""games"" that stores game information
- The table has a column called ""home_score"" that represents the points scored by the home team
- You want to find the highest value in that column

The query uses the MAX() aggregate function to return the largest value in the home_score column.",,False
original_prompt,ground_truth_data,Which team has the longest name?,SELECT full_name FROM team ORDER BY LENGTH(full_name) DESC LIMIT 1,detail,[['Minnesota Timberwolves']],"To find the team with the longest name using SQL, you would need to measure the length of each team name and find the maximum. Here's the SQL query:

```sql
SELECT team_name
FROM teams
WHERE LENGTH(team_name) = (
    SELECT MAX(LENGTH(team_name))
    FROM teams
)
LIMIT 1;
```

This query:
1. Uses the LENGTH() function to calculate the length of each team name
2. Finds the maximum length with a subquery
3. Returns the team name that matches this maximum length
4. Uses LIMIT 1 in case there are multiple teams with the same maximum length

Note: If your database uses a different function for string length (e.g., LEN() in SQL Server), you would need to adjust accordingly.",,False
original_prompt,ground_truth_data,How many players are guards?,SELECT COUNT(*) as guard_count FROM common_player_info WHERE position LIKE '%G%' LIMIT 1,counting,[[1604]],"```sql
SELECT COUNT(*) 
FROM players 
WHERE position = 'Guard';
```",,False
original_prompt,ground_truth_data,What's the average game time in hours?,"SELECT ROUND(AVG(CAST(SUBSTR(game_time, 1, INSTR(game_time, ':') - 1) AS INTEGER)), 2) as avg_hours FROM game_info WHERE game_time != '' LIMIT 1",aggregation,[[1.99]],"To convert this question to SQL, I need to write a query that calculates the average game time in hours.

Assuming there's a table that contains game time information (likely in minutes or seconds), I'll need to convert that to hours before averaging:

```sql
SELECT AVG(game_time / 60.0) AS average_game_time_hours
FROM games;
```

This query assumes:
1. There's a table called ""games""
2. It has a column called ""game_time"" that stores duration in minutes

If the game_time is stored in seconds instead, the conversion would be:

```sql
SELECT AVG(game_time / 3600.0) AS average_game_time_hours
FROM games;
```

If the column name or table name is different in your database, you would need to adjust the query accordingly.",,False
original_prompt,ground_truth_data,List all teams that have never made the playoffs,SELECT t.full_name FROM team t WHERE NOT EXISTS (SELECT 1 FROM game g WHERE g.season_type = 'Playoffs' AND (g.team_id_home = t.id OR g.team_id_away = t.id)),filtering,[],"To convert this question to SQL, I need to create a query that finds teams that don't appear in playoff records.

```sql
SELECT team.name
FROM team
WHERE team.id NOT IN (
    SELECT DISTINCT team_id
    FROM playoffs
)
```

This SQL query:
1. Selects team names from the team table
2. Uses a NOT IN clause with a subquery that finds all distinct team IDs that have appeared in the playoffs table
3. Returns only teams that have never had a playoff appearance

Note: The exact column and table names might need adjustment based on your actual database schema. If your database uses different naming conventions or relationships, the query would need to be modified accordingly.",,False
original_prompt,ground_truth_data,What's the most common player position?,SELECT position FROM common_player_info WHERE position IS NOT NULL GROUP BY position ORDER BY COUNT(*) DESC LIMIT 1,ranking,[['Guard']],"To find the most common player position, I need to write a SQL query that counts the occurrences of each position and returns the one with the highest count.

```sql
SELECT 
    position,
    COUNT(*) AS position_count
FROM 
    players
GROUP BY 
    position
ORDER BY 
    position_count DESC
LIMIT 1;
```

This query:
1. Counts how many players are in each position
2. Groups the results by position
3. Orders them by count in descending order
4. Returns only the top result (the most common position)

Note: I'm assuming the table is called ""players"" and the position field is called ""position"". You may need to adjust the table and field names to match your actual database schema.",,False
original_prompt,ground_truth_data,List all players drafted in 2016,SELECT player_name FROM draft_history WHERE season = 2016 ORDER BY overall_pick,filtering,"[['Ben Simmons'], ['Brandon Ingram'], ['Jaylen Brown'], ['Dragan Bender'], ['Kris Dunn'], ['Buddy Hield'], ['Jamal Murray'], ['Marquese Chriss'], ['Jakob Poeltl'], ['Thon Maker'], ['Domantas Sabonis'], ['Taurean Prince'], ['Georgios Papagiannis'], ['Denzel Valentine'], ['Juancho Hernangomez'], ['Guerschon Yabusele'], ['Wade Baldwin IV'], ['Henry Ellenson'], ['Malik Beasley'], ['Caris LeVert'], [""DeAndre' Bembry""], ['Malachi Richardson'], ['Ante Zizic'], ['Timothe Luwawu-Cabarrot'], ['Brice Johnson'], ['Furkan Korkmaz'], ['Pascal Siakam'], ['Skal Labissiere'], ['Dejounte Murray'], ['Damian Jones'], ['Deyonta Davis'], ['Ivica Zubac'], ['Cheick Diallo'], ['Tyler Ulis'], ['Rade Zagorac'], ['Malcolm Brogdon'], ['Chinanu Onuaku'], ['Patrick McCaw'], ['David Michineau'], ['Diamond Stone'], ['Stephen Zimmerman'], ['Isaiah Whitehead'], ['Zhou Qi'], ['Isaia Cordinier'], ['Demetrius Jackson'], ['AJ Hammons'], ['Jake Layman'], ['Paul Zipser'], ['Michael Gbinije'], ['Georges Niang'], ['Ben Bentil'], ['Joel Bolomboy'], ['Petr Cornelie'], ['Kay Felder'], ['Marcus Paige'], ['Daniel Hamilton'], ['Wang Zhelin'], ['Abdel Nader'], ['Isaiah Cousins'], ['Tyrone Wallace']]","```sql
SELECT *
FROM players
WHERE draft_year = 2016
```",,False
original_prompt,ground_truth_data,What are the top 10 teams by total points scored?,"SELECT t.full_name FROM game g JOIN team t ON t.id = g.team_id_home OR t.id = g.team_id_away GROUP BY t.id, t.full_name ORDER BY SUM(CASE WHEN g.team_id_home = t.id THEN g.pts_home ELSE g.pts_away END) DESC LIMIT 10",ranking,"[['Los Angeles Lakers'], ['Boston Celtics'], ['Golden State Warriors'], ['Philadelphia 76ers'], ['New York Knicks'], ['Detroit Pistons'], ['Sacramento Kings'], ['Atlanta Hawks'], ['Washington Wizards'], ['Phoenix Suns']]","```sql
SELECT team_name, SUM(points) as total_points
FROM teams
JOIN games ON teams.team_id = games.team_id
GROUP BY team_name
ORDER BY total_points DESC
LIMIT 10;
```

Note: This SQL query assumes:
1. There's a ""teams"" table with team information including ""team_id"" and ""team_name""
2. There's a ""games"" table with game results including ""team_id"" and ""points"" scored
3. You want to sum the total points across all games for each team
4. You want to display the top 10 teams with the highest total points

If your database schema is different, the query would need to be adjusted accordingly.",,False
